Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,5,na,na,1.8813559322033897,0.0,0.20664170376553426
OSC,BDF,0.001,1e-06,5,na,na,1.9491525423728813,0.0,0.2070101745326195
OSC,BDF,0.001,1e-06,5,na,na,2.016949152542373,0.0,0.21975736759281614
OSC,BDF,0.001,1e-06,5,na,na,2.084745762711864,0.0,0.2542557395254666
OSC,BDF,0.001,1e-06,5,na,na,2.152542372881356,0.0,0.29891779204422897
OSC,BDF,0.001,1e-06,5,na,na,2.220338983050848,0.0,0.3508669296917811
OSC,BDF,0.001,1e-06,5,na,na,2.2881355932203387,0.0,0.4103052992239956
OSC,BDF,0.001,1e-06,5,na,na,2.3559322033898304,0.0,0.47082340037400394
OSC,BDF,0.001,1e-06,5,na,na,2.423728813559322,0.0,0.525207676211867
OSC,BDF,0.001,1e-06,5,na,na,2.4915254237288136,0.0,0.5610182390772036
OSC,BDF,0.001,1e-06,5,na,na,2.5593220338983054,0.0,0.5954322034768674
OSC,BDF,0.001,1e-06,5,na,na,2.6271186440677967,0.0,0.6064542273547453
OSC,BDF,0.001,1e-06,5,na,na,2.694915254237288,0.0,0.6155776882347576
OSC,BDF,0.001,1e-06,5,na,na,2.7627118644067794,0.0,0.6168494760354017
OSC,BDF,0.001,1e-06,5,na,na,2.830508474576272,0.0,0.5922052698469592
OSC,BDF,0.001,1e-06,5,na,na,2.898305084745763,0.0,0.5677332830398943
OSC,BDF,0.001,1e-06,5,na,na,2.9661016949152543,0.0,0.5389874126545462
OSC,BDF,0.001,1e-06,5,na,na,3.0338983050847457,0.0,0.5005425333731783
OSC,BDF,0.001,1e-06,5,na,na,3.101694915254237,0.0,0.4670201146634516
OSC,BDF,0.001,1e-06,5,na,na,3.1694915254237284,0.0,0.42655224308368495
OSC,BDF,0.001,1e-06,5,na,na,3.23728813559322,0.0,0.3905980298525051
OSC,BDF,0.001,1e-06,5,na,na,3.305084745762712,0.0,0.3550221590991572
